,"LEGEND:Categories of green economic activity:Definition Elements:Y: Included1. Renewable energy5. Recycling and waste reduction1. Direct green good or serviceN: Excluded2. Energy efficiency6. Agricultural and natural resources conservation2. Indirect green good or service3. Greenhouse gas reduction7. Education, compliance, public awareness, and training3. Specialized input to elements 1 or 24. Pollution reduction and cleanup4. Distribution of green goods",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
1,111110,Soybean farming,Y,6,2,"USDA certified organic produce, soybeans for biodiesel"
2,111120,"Oilseed, except soybean, farming",Y,6,2,USDA certified organic produce
3,111130,Dry pea and bean farming,Y,6,2,USDA certified organic produce
4,111140,Wheat farming,Y,6,2,USDA certified organic produce
5,111150,Corn farming,Y,6,2,"USDA certified organic produce, growing corn for ethanol"
6,111160,Rice farming,Y,6,2,USDA certified organic produce
7,111191,Oilseed and grain combination farming,Y,6,2,USDA certified organic produce
8,111199,All other grain farming,Y,6,2,"USDA certified organic produce, growing sorghum for ethanol"
9,111211,Potato farming,Y,6,2,USDA certified organic produce
10,111219,Other vegetable and melon farming,Y,6,2,USDA certified organic produce
11,111310,Orange groves,Y,6,2,USDA certified organic produce
12,111320,"Citrus, except orange, groves",Y,6,2,USDA certified organic produce
13,111331,Apple orchards,Y,6,2,USDA certified organic produce
14,111332,Grape vineyards,Y,6,2,USDA certified organic produce
15,111333,Strawberry farming,Y,6,2,USDA certified organic produce
16,111334,"Berry, except strawberry, farming",Y,6,2,USDA certified organic produce
17,111335,Tree nut farming,Y,6,2,USDA certified organic produce
18,111336,Fruit and tree nut combination farming,Y,6,2,USDA certified organic produce
19,111339,Other non-citrus fruit farming,Y,6,2,USDA certified organic produce
20,111411,Mushroom production,Y,6,2,USDA certified organic produce
21,111419,Other food crops grown under cover,Y,6,2,USDA certified organic produce
22,111421,Nursery and tree production,Y,6,2,USDA certified organic products
23,111422,Floriculture production,Y,6,2,USDA certified organic products
24,111910,Tobacco farming,Y,6,2,USDA certified organic tobacco
25,111920,Cotton farming,Y,6,2,USDA certified organic cotton
26,111930,Sugarcane farming,Y,6,2,"USDA certified organic produce, sugarcane for ethanol"
27,111940,Hay farming,Y,6,2,USDA certified organic produce
28,111991,Sugar beet farming,Y,6,2,"USDA certified organic produce, sugar beets for ethanol"
29,111992,Peanut farming,Y,6,2,USDA certified organic produce
30,111998,All other miscellaneous crop farming,Y,6,2,USDA certified organic produce
31,112111,Beef cattle ranching and farming,Y,6,2,USDA certified organic beef
32,112112,Cattle feedlots,Y,6,2,USDA certified organic meat
33,112120,Dairy cattle and milk production,Y,6,2,USDA certified organic dairy
34,112210,Hog and pig farming,Y,6,2,USDA certified organic meat
35,112310,Chicken egg production,Y,6,2,USDA certified organic meat
36,112320,Broilers and meat type chicken production,Y,6,2,USDA certified organic meat
37,112330,Turkey production,Y,6,2,USDA certified organic meat
38,112340,Poultry hatcheries,Y,6,2,USDA certified organic meat
39,112390,Other poultry production,Y,6,2,USDA certified organic meat
40,112410,Sheep farming,Y,6,2,USDA certified organic meat
41,112420,Goat farming,Y,6,2,USDA certified organic meat
42,112511,Finfish farming and fish hatcheries,Y,6,2,USDA certified organic fish
43,112512,Shellfish farming,Y,6,2,USDA certified organic fish
